Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,CPU_frequency,RAM_GB,Storage_GB_SSD,Price,Screen_Size_inch,Weight_pounds,Screen_Full HD,Screen_IPS Panel
0,Acer,4,2,1,5,0.5517241379310345,8,256,978,14.0,3.52739619488,False,True
1,Dell,3,1,1,3,0.6896551724137931,4,256,634,15.600000000000001,4.850169767960001,True,False
2,Dell,3,1,1,7,0.9310344827586208,8,256,946,15.600000000000001,4.850169767960001,True,False
3,Dell,4,2,1,5,0.5517241379310345,8,128,1244,13.299999999999999,2.689639598596,False,True
4,HP,4,2,1,7,0.6206896551724138,8,256,837,15.600000000000001,4.210829207638,True,False
5,Dell,3,1,1,5,0.5517241379310345,8,256,1016,15.600000000000001,4.850169767960001,True,False
6,HP,3,3,1,5,0.5517241379310345,8,256,1117,15.600000000000001,4.62970750578,True,False
7,Acer,3,2,1,5,0.5517241379310345,4,256,866,15.0,4.850169767960001,False,True
8,Dell,3,1,1,5,0.8620689655172414,4,256,812,15.600000000000001,5.07063203014,True,False
9,Acer,3,3,1,7,0.6206896551724138,8,256,1068,15.0,4.850169767960001,False,True
10,Dell,3,1,1,7,0.6206896551724138,8,256,975,15.600000000000001,4.695846184434,True,False
11,HP,3,2,1,3,0.6896551724137931,4,128,558,15.600000000000001,4.210829207638,True,False
12,Asus,3,2,2,3,0.6896551724137931,4,256,527,15.600000000000001,4.4092452436,True,False
13,Dell,4,2,1,5,0.5517241379310345,8,256,1117,14.0,3.74785845706,True,False
14,Asus,3,2,1,5,0.5517241379310345,8,256,1195,14.0,3.08647167052,True,False
15,HP,3,2,1,5,0.8620689655172414,8,256,876,15.600000000000001,4.100598076548001,True,False
16,Dell,4,1,1,7,0.6206896551724138,8,256,1213,13.000000000000002,3.08647167052,False,True
17,Dell,3,1,1,7,0.6206896551724138,8,256,1105,15.600000000000001,4.850169767960001,True,False
18,Dell,4,2,1,5,0.5517241379310345,8,256,1392,15.0,4.1446905289839995,False,True
19,HP,3,2,1,5,0.5517241379310345,8,256,1092,14.0,3.593534873534,True,False
20,HP,4,3,1,7,0.6206896551724138,8,256,888,15.0,4.034459397894,False,True
21,HP,3,2,1,5,0.8620689655172414,8,256,761,15.600000000000001,4.3210603387279996,True,False
22,Dell,4,2,1,7,0.6206896551724138,8,256,2095,13.000000000000002,2.667593372378,False,True
23,Dell,1,3,1,5,0.8620689655172414,8,256,1518,15.600000000000001,5.84224994777,True,False
24,Asus,4,2,1,7,0.9310344827586208,8,256,1333,14.0,2.75577827725,True,False
25,Dell,3,1,2,3,0.6896551724137931,4,256,616,15.600000000000001,4.850169767960001,True,False
26,Asus,3,3,1,3,0.8275862068965517,6,256,733,15.600000000000001,4.4092452436,True,False
27,HP,3,1,1,7,0.9310344827586208,8,256,913,15.600000000000001,4.210829207638,True,False
28,HP,4,3,1,7,0.9310344827586208,8,256,1421,13.000000000000002,3.0423792180839997,False,True
29,HP,3,3,1,5,0.8620689655172414,6,256,837,14.0,4.105518264373476,False,True
30,Asus,4,3,1,7,0.9310344827586208,8,256,1515,14.0,2.86600940834,False,True
31,Lenovo,3,2,1,7,0.9310344827586208,8,256,1880,14.0,3.4833037424440003,False,True
32,Dell,4,2,1,5,0.5517241379310345,8,256,2069,13.000000000000002,2.667593372378,False,True
33,Asus,3,3,1,7,0.6206896551724138,8,256,1420,15.600000000000001,3.74785845706,True,False
34,HP,3,2,1,5,0.5517241379310345,8,256,1179,17.3,5.5115565545,True,False
35,Acer,4,2,1,7,0.6206896551724138,8,256,1123,14.0,3.52739619488,False,True
36,Acer,3,3,1,3,0.9310344827586208,4,256,727,15.600000000000001,4.850169767960001,True,False
37,HP,3,2,1,7,0.6206896551724138,8,256,1255,14.0,3.593534873534,True,False
38,HP,3,2,1,5,0.8620689655172414,4,256,888,13.000000000000002,4.105518264373476,False,True
39,Lenovo,3,1,1,5,0.5517241379310345,8,256,1418,14.0,3.85808958815,False,True
40,Asus,4,2,1,7,0.6206896551724138,8,256,1396,14.0,2.75577827725,True,False
41,HP,4,2,1,5,0.9310344827586208,4,256,1374,14.0,3.262841480264,True,False
42,HP,3,1,1,5,0.5517241379310345,6,256,786,15.600000000000001,4.210829207638,True,False
43,Acer,3,3,1,5,0.5517241379310345,4,256,1023,17.0,6.6138678654,False,True
44,Dell,3,1,1,5,0.5517241379310345,8,256,925,15.600000000000001,4.695846184434,True,False
45,Lenovo,1,3,1,7,0.9655172413793103,16,256,1371,15.0,5.5115565545,False,True
